Rechnung_ID,Produktart,Produkthersteller,Kaufdatum,Anzahl,Preis,Kunden_ID,Alter,Geschlecht,Wohnort,Kanalpräferenz,Rabattnutzung
R10000000,Smartphone,Apple,2016-09-22,1,1163.19,1000,48,Männlich,Bockenem,Online_App,Ja
R10000001,Kühlschrank,Bosch,2016-08-24,1,429.49,1000,48,Männlich,Bockenem,Online_App,Ja
R10000003,Kühlschrank,LG,2016-05-10,1,413.19,1000,48,Männlich,Bockenem,Store,Ja
R10000002,Drucker,HP,2016-12-11,1,79.74,1000,48,Männlich,Bockenem,Online_App,Nein
R10000003,Spiegelreflexkamera,Canon,2016-05-10,1,426.79,1000,48,Männlich,Bockenem,Store,Nein
R10010001,Staubsauger,Bosch,2016-04-04,1,101.09,1001,40,Weiblich,Goslar,Online_App,Ja
R10010001,Elektrische Zahnbürste,Oral-B,2016-04-04,3,108.09,1001,40,Weiblich,Goslar,Online_App,Nein
R10010001,Bügeleisen,Tefal,2016-04-04,1,148.0,1001,40,Weiblich,Goslar,Online_App,Ja
R10010000,Haarföhn,Grundig,2016-04-01,1,271.89,1001,40,Weiblich,Goslar,Online_App,Nein
R10010001,Bügeleisen,Philips,2016-04-04,1,315.58,1001,40,Weiblich,Goslar,Online_App,Ja
R10020000,Smartphone,Sony,2016-05-09,1,657.19,1002,57,Weiblich,Radolfshausen,Online_App,Ja
R10020000,Drucker,Brother,2016-05-09,1,173.94,1002,57,Weiblich,Radolfshausen,Online_App,Ja
R10020000,Staubsauger,Siemens,2016-05-09,1,125.89,1002,57,Weiblich,Radolfshausen,Online_App,Nein
R10020000,Tablet,Apple,2016-05-09,2,385.19,1002,57,Weiblich,Radolfshausen,Online_App,Nein
R10020000,Staubsauger,Grundig,2016-05-09,1,155.79,1002,57,Weiblich,Radolfshausen,Online_App,Nein
R10020000,Tablet,Lenovo,2016-05-09,1,480.0,1002,57,Weiblich,Radolfshausen,Online_App,Nein
R10030002,Tablet,Xiaomi,2016-03-22,1,385.79,1003,34,Weiblich,Barsinghausen,Store,Nein
R10030000,Kühlschrank,Siemens,2016-01-01,1,715.19,1003,34,Weiblich,Barsinghausen,Store,Nein
R10030001,Mikrowelle,Samsung,2016-02-15,1,167.19,1003,34,Weiblich,Barsinghausen,Store,Ja
R10030002,Haarföhn,Philips,2016-03-22,1,115.19,1003,34,Weiblich,Barsinghausen,Store,Ja
R10030002,Waschmaschine,Sharp,2016-03-22,2,982.0,1003,34,Weiblich,Barsinghausen,Store,Nein
R10030002,Bluetooth Kopfhörer,Apple,2016-03-22,1,499.19,1003,34,Weiblich,Barsinghausen,Store,Ja
R10040000,Gaming-Laptop,HP,2016-10-11,1,1713.39,1004,17,Weiblich,Wunstorf,Online_App,Nein
R10040000,Digitalkamera,Sony,2016-10-11,1,741.59,1004,17,Weiblich,Wunstorf,Online_App,Nein
R10040000,Digitalkamera,Canon,2016-10-11,1,414.89,1004,17,Weiblich,Wunstorf,Online_App,Nein
R10050000,Drucker,Brother,2016-09-20,1,88.42,1005,51,Weiblich,Grasleben,Online_Desktop,Nein
R10050000,Convertible Laptop,Dell,2016-09-20,1,1020.0,1005,51,Weiblich,Grasleben,Online_Desktop,Nein
R10050000,Rasierer,Philips,2016-09-20,1,56.69,1005,51,Weiblich,Grasleben,Online_Desktop,Ja
R10060000,Kaffeemaschine,Braun,2016-01-22,1,138.29,1006,66,Weiblich,Hildesheim,Online_App,Ja
R10060003,Drucker,Canon,2016-10-07,1,141.4,1006,66,Weiblich,Hildesheim,Store,Ja
R10060000,Haarföhn,Grundig,2016-01-22,1,195.79,1006,66,Weiblich,Hildesheim,Online_App,Nein
R10060001,Bluetooth Lautsprecher,JBL,2016-04-16,1,288.09,1006,66,Weiblich,Hildesheim,Online_Desktop,Ja
R10060002,Staubsauger,Bosch,2016-10-29,1,230.19,1006,66,Weiblich,Hildesheim,Online_Desktop,Nein
R10060000,Convertible Laptop,Samsung,2016-01-22,1,868.0,1006,66,Weiblich,Hildesheim,Online_App,Nein
R10060002,Staubsauger,Dyson,2016-10-29,1,149.39,1006,66,Weiblich,Hildesheim,Online_Desktop,Nein
R10060002,Wasserkocher,Philips,2016-10-29,1,63.19,1006,66,Weiblich,Hildesheim,Online_Desktop,Nein
R10060000,Bügeleisen,Tefal,2016-01-22,1,663.7,1006,66,Weiblich,Hildesheim,Online_App,Ja
R10070001,Kaffeemaschine,Grundig,2016-07-08,1,186.49,1007,21,Weiblich,Uetze,Store,Ja
R10070000,Digitalkamera,Canon,2016-04-08,1,519.29,1007,21,Weiblich,Uetze,Online_Desktop,Nein
R10070000,In-Ear Kopfhörer,Sony,2016-04-08,1,98.89,1007,21,Weiblich,Uetze,Online_Desktop,Nein
R10070000,Tablet,HP,2016-04-08,2,354.99,1007,21,Weiblich,Uetze,Online_Desktop,Nein
R10070001,In-Ear Kopfhörer,Xiaomi,2016-07-08,1,75.19,1007,21,Weiblich,Uetze,Store,Nein
R10080000,Staubsauger,Dyson,2016-12-13,1,264.59,1008,67,Männlich,Lehrte,Online_Desktop,Nein
R10080000,Kühlschrank,Bosch,2016-12-13,2,604.29,1008,67,Männlich,Lehrte,Online_Desktop,Nein
R10080000,WLAN-Router,TP-Link,2016-12-13,2,329.0,1008,67,Männlich,Lehrte,Online_Desktop,Ja
R10080000,Smartphone,Samsung,2016-12-13,1,518.09,1008,67,Männlich,Lehrte,Online_Desktop,Nein
R10090000,Digitalkamera,Canon,2016-03-22,1,923.29,1009,30,Weiblich,Moringen,Online_App,Nein
R10090000,Tablet,Microsoft,2016-03-22,1,388.19,1009,30,Weiblich,Moringen,Online_App,Nein
R10090000,Smart-TV,Panasonic,2016-03-22,1,2466.99,1009,30,Weiblich,Moringen,Online_App,Nein
R10090000,WLAN-Router,AVM,2016-03-22,1,469.19,1009,30,Weiblich,Moringen,Online_App,Nein
R10090000,Bluetooth Kopfhörer,Sony,2016-03-22,1,369.29,1009,30,Weiblich,Moringen,Online_App,Nein
R10120000,Spielkonsole,Nintendo,2016-11-09,1,529.0,1012,47,Männlich,Lutter,Store,Ja
R10120000,Convertible Laptop,Dell,2016-11-09,1,818.29,1012,47,Männlich,Lutter,Store,Ja
R10120000,Gaming-Laptop,Lenovo,2016-11-09,1,1751.0,1012,47,Männlich,Lutter,Store,Ja
R10120000,Kühlschrank,Grundig,2016-11-09,1,151.79,1012,47,Männlich,Lutter,Store,Ja
R10130000,Bluetooth Kopfhörer,LG,2016-12-13,1,587.59,1013,50,Weiblich,Hardegsen,Online_App,Nein
R10130000,Kaffeevollautomat,Siemens,2016-12-13,1,2805.0,1013,50,Weiblich,Hardegsen,Online_App,Ja
R10130002,Smartphone,Sony,2016-03-29,1,827.89,1013,50,Weiblich,Hardegsen,Online_App,Nein
R10130001,Convertible Laptop,Asus,2016-03-24,1,1179.29,1013,50,Weiblich,Hardegsen,Online_App,Ja
R10140002,Massagegerät,Lacamax,2016-08-12,1,721.49,1014,19,Weiblich,Wunstorf,Online_App,Nein
R10140002,Bluetooth Lautsprecher,Sony,2016-08-12,1,227.59,1014,19,Weiblich,Wunstorf,Online_App,Ja
R10140000,Staubsauger,Xiaomi,2016-08-28,1,362.49,1014,19,Weiblich,Wunstorf,Online_Desktop,Nein
R10140001,Convertible Laptop,LG,2016-06-13,1,1055.0,1014,19,Weiblich,Wunstorf,Online_App,Ja
R10150000,Staubsauger,Bosch,2016-04-04,1,337.79,1015,38,Männlich,Bad Lauterberg,Online_App,Ja
R10150000,Spielkonsole,Sony,2016-04-04,1,623.99,1015,38,Männlich,Bad Lauterberg,Online_App,Ja
R10160000,Bluetooth Kopfhörer,Samsung,2016-06-17,1,198.69,1016,36,Männlich,Herzberg am Harz,Online_App,Ja
R10160001,Batterien,Panasonic,2016-03-20,1,28.99,1016,36,Männlich,Herzberg am Harz,Online_App,Nein
R10190000,Digitalkamera,Panasonic,2016-10-01,1,301.49,1019,57,Männlich,Wolfsburg,Online_App,Ja
R10190000,Haarföhn,Panasonic,2016-10-01,1,312.79,1019,57,Männlich,Wolfsburg,Online_App,Nein
R10190000,Batterien,Duracel,2016-10-01,1,17.99,1019,57,Männlich,Wolfsburg,Online_App,Nein
R10200000,Business-Laptop,HP,2016-03-16,1,1301.99,1020,53,Weiblich,Schöningen,Online_Desktop,Ja
R10210000,Digitalkamera,Sony,2016-08-29,1,1055.69,1021,28,Männlich,Wolfsburg,Online_Desktop,Ja
R10210002,Smart-TV,Samsung,2016-12-12,1,2273.99,1021,28,Männlich,Wolfsburg,Online_App,Nein
R10210002,Tablet,Acer,2016-12-12,1,474.0,1021,28,Männlich,Wolfsburg,Online_App,Nein
R10210001,WLAN-Router,AVM,2016-07-05,1,240.0,1021,28,Männlich,Wolfsburg,Online_Desktop,Ja
R10220001,Bügeleisen,Philips,2016-04-14,1,46.72,1022,20,Männlich,Seesen,Store,Nein
R10220000,Smartphone,Apple,2016-09-01,1,1130.59,1022,20,Männlich,Seesen,Store,Ja
R10220000,Haarföhn,Philips,2016-09-01,1,190.29,1022,20,Männlich,Seesen,Store,Nein
R10220000,Heimkino System,LG,2016-09-01,1,2289.79,1022,20,Männlich,Seesen,Store,Ja
R10240000,Spielkonsole,Microsoft,2016-03-02,1,600.0,1024,24,Männlich,Sarstedt,Online_App,Ja
R10240000,Staubsauger,Siemens,2016-03-02,1,114.89,1024,24,Männlich,Sarstedt,Online_App,Nein
R10250001,Digitalkamera,Canon,2016-03-05,1,443.19,1025,56,Weiblich,Salzgitter,Online_App,Nein
R10250001,Kühlschrank,Siemens,2016-03-05,1,237.69,1025,56,Weiblich,Salzgitter,Online_App,Nein
R10250000,Digitalkamera,Sony,2016-06-20,1,599.19,1025,56,Weiblich,Salzgitter,Store,Nein
R10250000,Convertible Laptop,LG,2016-06-20,2,764.79,1025,56,Weiblich,Salzgitter,Store,Ja
R10250000,Waschmaschine,Siemens,2016-06-20,1,572.0,1025,56,Weiblich,Salzgitter,Store,Nein
R10250001,Staubsauger,Dyson,2016-03-05,1,355.19,1025,56,Weiblich,Salzgitter,Online_App,Nein
R10260000,Kaffeevollautomat,Philips,2016-03-06,1,2184.0,1026,38,Männlich,Sehnde,Store,Nein
R10260000,Heimkino System,Sony,2016-03-06,1,1200.19,1026,38,Männlich,Sehnde,Store,Nein
R10260000,Digitalkamera,Canon,2016-03-06,2,1108.09,1026,38,Männlich,Sehnde,Store,Nein
R10260000,Wasserkocher,Braun,2016-03-06,1,65.29,1026,38,Männlich,Sehnde,Store,Nein
R10270001,Massagegerät,Beurer,2016-10-12,1,1179.79,1027,44,Weiblich,Clausthal-Zellerfeld,Online_App,Nein
R10270001,Spiegelreflexkamera,Sony,2016-10-12,1,1031.79,1027,44,Weiblich,Clausthal-Zellerfeld,Online_App,Ja
R10270001,Tablet,Lenovo,2016-10-12,2,520.59,1027,44,Weiblich,Clausthal-Zellerfeld,Online_App,Ja
R10270001,Digitalkamera,Nikon,2016-10-12,1,1185.09,1027,44,Weiblich,Clausthal-Zellerfeld,Online_App,Nein
R10270000,Smartphone,Apple,2016-06-18,1,184.39,1027,44,Weiblich,Clausthal-Zellerfeld,Online_App,Ja
R10280000,Bluetooth Kopfhörer,Beats,2016-12-23,1,43.69,1028,44,Weiblich,Soltau,Online_App,Nein
R10280000,Bügeleisen,Tefal,2016-12-23,1,591.97,1028,44,Weiblich,Soltau,Online_App,Nein
R10280000,Smartphone,Apple,2016-12-23,1,806.49,1028,44,Weiblich,Soltau,Online_App,Nein
R10290001,Smartphone,Apple,2016-05-29,1,937.39,1029,58,Männlich,Lutter,Store,Ja
R10290001,Digitalkamera,Panasonic,2016-05-29,1,87.79,1029,58,Männlich,Lutter,Store,Ja
R10290000,Staubsauger,Bosch,2016-04-01,2,187.99,1029,58,Männlich,Lutter,Online_App,Ja
R10300000,Haarföhn,Dyson,2016-05-25,1,141.69,1030,65,Weiblich,Bad Münder,Online_Desktop,Nein
R10300000,In-Ear Kopfhörer,JBL,2016-05-25,1,53.29,1030,65,Weiblich,Bad Münder,Online_Desktop,Ja
R10300000,Gaming-Laptop,Lenovo,2016-05-25,2,1318.19,1030,65,Weiblich,Bad Münder,Online_Desktop,Nein
R10300000,In-Ear Kopfhörer,Samsung,2016-05-25,1,104.59,1030,65,Weiblich,Bad Münder,Online_Desktop,Nein
R10310000,Tablet,Samsung,2016-11-05,1,416.0,1031,37,Männlich,Northeim,Online_App,Ja
R10320000,Heimkino System,Samsung,2016-09-02,1,1754.0,1032,18,Männlich,Wedemark,Online_Desktop,Ja
R10320000,USB-Stick,Samsung,2016-09-02,1,47.79,1032,18,Männlich,Wedemark,Online_Desktop,Nein
R10320000,Spielkonsole,Microsoft,2016-09-02,1,525.99,1032,18,Männlich,Wedemark,Online_Desktop,Nein
R10320000,Staubsauger,Bosch,2016-09-02,1,117.89,1032,18,Männlich,Wedemark,Online_Desktop,Nein
R10320000,Tablet,Lenovo,2016-09-02,1,409.19,1032,18,Männlich,Wedemark,Online_Desktop,Ja
R10330000,Haarföhn,Panasonic,2016-06-08,1,227.49,1033,38,Männlich,Goslar,Online_Desktop,Ja
R10330000,WLAN-Router,AVM,2016-06-08,1,183.0,1033,38,Männlich,Goslar,Online_Desktop,Ja
R10330000,Wasserkocher,Braun,2016-06-08,1,74.99,1033,38,Männlich,Goslar,Online_Desktop,Ja
R10340001,Bügeleisen,Tefal,2016-03-25,1,244.86,1034,27,Weiblich,Moringen,Online_App,Nein
R10340000,Spiegelreflexkamera,Nikon,2016-08-08,1,380.99,1034,27,Weiblich,Moringen,Online_App,Nein
R10340001,Massagegerät,Lacamax,2016-03-25,1,1639.39,1034,27,Weiblich,Moringen,Online_App,Nein
R10340000,Elektrische Zahnbürste,Philips,2016-08-08,1,80.99,1034,27,Weiblich,Moringen,Online_App,Nein
